!OMP_NUM_THREADS key E v kr eta mu 
 4         0     1.00000e+09     1.66667e-01     2.00000e-01     1.42857e-01     5.45455e+00 
 4         1     1.00000e+08     3.33333e-01     4.00000e-01     2.85714e-01     1.09091e+01 
 4         2     1.00000e+10     5.55556e-02     6.00000e-01     4.28571e-01     1.63636e+01 
 4         3     3.16228e+07     2.22222e-01     8.00000e-01     5.71429e-01     2.18182e+01 
 4         4     3.16228e+09     3.88889e-01     4.00000e-02     7.14286e-01     2.72727e+01 
 4         5     3.16228e+08     1.11111e-01     2.40000e-01     8.57143e-01     3.27273e+01 
 4         6     3.16228e+10     2.77778e-01     4.40000e-01     2.04082e-02     3.81818e+01 
 4         7     1.77828e+07     4.44444e-01     6.40000e-01     1.63265e-01     4.36364e+01 
 4         8     1.77828e+09     1.85185e-02     8.40000e-01     3.06122e-01     4.90909e+01 
 4         9     1.77828e+08     1.85185e-01     8.00000e-02     4.48980e-01     5.45455e+01 
 4        10     1.77828e+10     3.51852e-01     2.80000e-01     5.91837e-01     4.95868e-01 
 4        11     5.62341e+07     7.40741e-02     4.80000e-01     7.34694e-01     5.95041e+00 
 4        12     5.62341e+09     2.40741e-01     6.80000e-01     8.77551e-01     1.14050e+01 
 4        13     5.62341e+08     4.07407e-01     8.80000e-01     4.08163e-02     1.68595e+01 
 4        14     5.62341e+10     1.29630e-01     1.20000e-01     1.83673e-01     2.23140e+01 
 4        15     1.33352e+07     2.96296e-01     3.20000e-01     3.26531e-01     2.77686e+01 
 4        16     1.33352e+09     4.62963e-01     5.20000e-01     4.69388e-01     3.32231e+01 
 4        17     1.33352e+08     3.70370e-02     7.20000e-01     6.12245e-01     3.86777e+01 
 4        18     1.33352e+10     2.03704e-01     9.20000e-01     7.55102e-01     4.41322e+01 
 4        19     4.21697e+07     3.70370e-01     1.60000e-01     8.97959e-01     4.95868e+01 
 4        20     4.21697e+09     9.25926e-02     3.60000e-01     6.12245e-02     5.50413e+01 
 4        21     4.21697e+08     2.59259e-01     5.60000e-01     2.04082e-01     9.91736e-01 
 4        22     4.21697e+10     4.25926e-01     7.60000e-01     3.46939e-01     6.44628e+00 
 4        23     2.37137e+07     1.48148e-01     9.60000e-01     4.89796e-01     1.19008e+01 
 4        24     2.37137e+09     3.14815e-01     8.00000e-03     6.32653e-01     1.73554e+01 
 4        25     2.37137e+08     4.81481e-01     2.08000e-01     7.75510e-01     2.28099e+01 
 4        26     2.37137e+10     6.17284e-03     4.08000e-01     9.18367e-01     2.82645e+01 
 4        27     7.49894e+07     1.72840e-01     6.08000e-01     8.16327e-02     3.37190e+01 
 4        28     7.49894e+09     3.39506e-01     8.08000e-01     2.24490e-01     3.91736e+01 
 4        29     7.49894e+08     6.17284e-02     4.80000e-02     3.67347e-01     4.46281e+01 
 4        30     7.49894e+10     2.28395e-01     2.48000e-01     5.10204e-01     5.00826e+01 
 4        31     1.15478e+07     3.95062e-01     4.48000e-01     6.53061e-01     5.55372e+01 
